INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
20135001002,2.0135E+16,3612,0,sex-off-fail-to-register,all-other-crimes,12/31/2012 15:00,4/1/2013 14:00,4/1/2013 14:13,1331 N CHEROKEE ST,3142846,1693966,-104.9920672,39.7376443,6,616,civic-center
2013145741,2.01315E+15,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/31/2013 21:59,4/1/2013 7:30,4/1/2013 9:14,2862 S CHERRY WAY,3159265,1667856,-104.934264,39.6657004,3,324,university-hills
2013190109,2.01319E+15,2999,1,criminal-mischief-mtr-veh,public-disorder,4/28/2013 20:00,4/29/2013 3:30,4/29/2013 16:15,500 BLK S NEWTON ST,3130328,1682483,-105.0367862,39.7063048,4,414,westwood
2013144706,2.01314E+15,3532,0,drug-cocaine-possess,drug-alcohol,3/31/2013 13:45,,3/31/2013 16:44,1835 N FRANKLIN ST,3149108,1696968,-104.9697389,39.7457871,6,612,city-park-west
20136003092,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/31/2013 0:00,3/31/2013 8:00,4/1/2013 22:11,8300 BLK E 29TH PL,3171117,1701766,-104.8913579,39.7585797,2,232,stapleton
20136003051,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/31/2013 22:40,3/31/2013 22:40,3/31/2013 22:51,2909 N YORK ST,3151795,1701628,-104.9600851,39.7585361,2,212,whittier
2013189398,2.01319E+15,2399,0,theft-other,larceny,4/22/2013 15:14,4/22/2013 15:30,4/29/2013 1:38,3100 S SHERIDAN BLVD,3125922,1664085,-105.0527677,39.6558584,4,434,harvey-park-south
2013145962,2.01315E+15,2399,0,theft-other,larceny,3/29/2013 0:00,3/29/2013 5:00,4/1/2013 13:48,2901 E EVANS AVE,3153882,1672539,-104.9532848,39.6786469,3,323,university-park
2013189856,2.01319E+15,4104,0,liquor-possession,drug-alcohol,4/29/2013 11:29,,4/29/2013 11:29,100 BLOCK E 16TH AVE,3144689,1695421,-104.9854847,39.7416101,6,611,north-capitol-hill
2013146037,2.01315E+15,2404,0,theft-of-motor-vehicle,auto-theft,3/31/2013 20:00,3/31/2013 20:15,4/1/2013 13:48,1512 E 14TH AVE,3149308,1694202,-104.9690852,39.7381908,6,613,cheesman-park
2013145266,2.01315E+15,5309,0,harassment,public-disorder,3/31/2013 21:17,,3/31/2013 21:17,410 N ACOMA ST,3143810,1688523,-104.9887484,39.7226874,4,421,baker
2013146391,2.01315E+15,1313,0,assault-simple,other-crimes-against-persons,3/31/2013 1:30,3/31/2013 1:30,4/1/2013 19:41,2070 S UNIVERSITY BLVD,3152284,1672611,-104.9589605,39.6788708,3,323,university-park
2013146308,2.01315E+15,2202,0,burglary-residence-by-force,burglary,3/31/2013 15:00,3/31/2013 18:00,4/1/2013 17:00,10 N EMERSON ST,3147246,1686429,-104.9765764,39.7168852,4,422,speer
2013145639,2.01315E+15,5212,0,weapon-poss-illegal-dangerous,all-other-crimes,4/1/2013 7:12,,4/1/2013 8:42,3423 N ST PAUL ST,3154188,1703969,-104.9515235,39.7649232,2,213,clayton
2013145675,2.01315E+15,2999,0,criminal-mischief-other,public-disorder,3/20/2013 12:00,4/1/2013 8:00,4/1/2013 9:07,1123 W 3RD AVE,3139716,1688258,-105.0033076,39.7220223,4,421,baker
2013145327,2.01315E+15,1315,2,menacing-felony-w-weap,aggravated-assault,3/31/2013 22:05,3/31/2013 22:09,4/1/2013 0:37,1625 N ROSLYN ST,3168321,1695895,-104.9014403,39.7425139,2,233,east-colfax
2013145327,2.01315E+15,7199,1,property-crimes-other,all-other-crimes,3/31/2013 22:05,3/31/2013 22:09,4/1/2013 0:37,1625 N ROSLYN ST,3168321,1695895,-104.9014403,39.7425139,2,233,east-colfax
